"General Settings","일반설정"
"Enable Launcher","런쳐 활성화"
"Index Actions","인덱스 액션"
"Index Configuration","환경설정 인덱스하기"
"Index Navigation Menu","네비게이션메뉴 인덱스하기"
"Index Products","제품 인덱스하기"
"<span style=""color:red"">Attention!</span> Thousands of products will drastically slow down performances.","<span style=""color:red"">주의 !</span> 상품수가 많으면 속도가 현저하게 떨어질겁니다."
"Index Categories","카테고리 인덱스하기"
"Index Customers","고객 인덱스하기"
"<span style=""color:red"">Attention!</span> Thousands of customers will drastically slow down performances.","<span style=""color:red"">주의ㅏ!</span> 고객수가 많으면 속도가 현저하게 떨어질겁니다."
"Index Orders","주문 인덱스하기"
"<span style=""color:red"">Attention!</span> Thousands of orders will drastically slow down performances.","<span style=""color:red"">주의 !</span> 주문많으면 속도가 현저하게 떨어질겁니다."
"Index Product Attributes","제품속성 인덱스하기"
"Index Promotions","프로모션 인덱스하기"
"Launcher Settings","런쳐 설정"
"Min Chars","최소문자수"
"Max Results","최대결과"
"0 or empty means unlimited.","0 또는 빈값은 무제한을 의미합니다."
"Hotkey","바로가기 키"
"Code of keydown event needed, default is 32 (spacebar). <a href=""http://www.w3.org/2002/09/tests/keys.html"" target=""_blank"">List of key codes</a>","""keydown"" 코드 이벤트가 필요합니다, 기본값은 32 (스페이스바)입니다. <a href=""http://www.w3.org/2002/09/tests/keys.html"" target=""_blank"">키코드 목록</a>"
"Reset On Hide","숨김시 초기화"
"Reset input field when launcher disappears.","런쳐가 사라질때 input 초기화"
"Use Scope","범주(Scope) 사용하기"
"Allow to scope search with predefined scopes (config, menu, product, ...).","미리 정의된 범주로 범주 검색 허용하기"
"Show Icon","아이콘 보이기"
"Show icons in search results.","검색결과내에 아이콘 보이기"
"Show Scope","범주 보이기"
"Show scope in search results. For example: <strong>[Menu] Catalog > Manage Products</strong> becomes <strong>Catalog > Manage Products</strong> if disabled.","검색결과에 범주 보이기. Par exemple : <strong>[Menu] Catalogue > Gérer les produits</strong> devient <strong>Catalogue > Gérer les produits</strong> si ce paramètre est désactivé."
"Show Text","텍스트 보이기"
"Show text under title in search results. For example: <strong>Config > Developer > CSS Settings > Merge CSS Files</strong>.","검색결과 타이틀아래에 텍스트 보이기. Par exemple : <strong>Config > Développeur > Paramètres CSS > Fusionner les fichiers CSS</strong>."
"Catalog Rule","카탈로그 규칙"
"Shopping Cart Rule","장바구니 규칙"
"Clear Magento Cache","마젠토캐시 비우기"
"Clear Config Cache","설정캐시 비우기"
"Clear Layouts Cache","레이아웃캐시 비우기"
"Clear HTML Blocks Cache","HTML블럭캐시 비우기"
"Clear Translations Cache","번역캐시 비우기"
"Reindex All","모두 재인덱스하기"
"action","액션"
"config","설정"
"menu","메뉴"
"product","제품"
"category","카테고리"
"customer","고객"
"order","주문"
"promo","프로모션"
"attribute","속성"
"Full overview available","이용가능한 전체개요"
"here","여기"
"Bubble Launcher is an intuitive and powerful keystroke launcher for Magento Admin Panel.","버블런쳐는 마젠토관리자패널용 막강한 키 스트로크 입니다."
"http://www.bubblecode.net/en/2013/03/25/a-powerful-launcher-for-magento-admin-panel/","http://www.bubblecode.net/2013/03/25/un-lanceur-pour-l-admin-magento/"